product_id,product_name,category,price,stock_quantity,brand,rating,date_added,merchant_id,tags,details,content
P234,Property Scientist,Electronics,267.06,105,Sims-Gilbert,3.6,2024-09-23,M183,"['possible', 'plant', 'board']","{'battery_life': '9 hours', 'charging_time': '3 hours', 'connectivity': 'Wi-Fi', 'noise_cancellation': 'Active', 'water_resistance': 'IPX7'}",Property Scientist Electronics possible plant board Sims-Gilbert 9 hours 3 hours Wi-Fi Active IPX7
P235,Short Deep,Sports & Outdoors,274.12,434,"Brown, Ramirez and Ramsey",3.4,2024-03-05,M173,"['network', 'open', 'computer']","{'material': 'Foam', 'dimensions': '80x24 inches', 'thickness': '10mm', 'weight': '2.4 lbs', 'color': 'Blue', 'waterproof': False}","Short Deep Sports & Outdoors network open computer Brown, Ramirez and Ramsey Foam 80x24 inches 10mm 2.4 lbs Blue False"
P236,Whether Partner,Wearables,52.28,124,English-Schaefer,3.4,2024-03-09,M147,"['support', 'career', 'to']","{'display_type': 'AMOLED', 'battery_life': '30 hours', 'connectivity': 'Bluetooth 5.2', 'sensors': ['Heart rate'], 'water_resistance': 'IP68', 'compatibility': 'iOS'}",Whether Partner Wearables support career to English-Schaefer AMOLED 30 hours Bluetooth 5.2 ['Heart rate'] IP68 iOS
P237,It Them,Sports & Outdoors,150.68,295,Haas-Coleman,3.8,2024-03-14,M167,"['property', 'never', 'page']","{'material': 'Rubber', 'dimensions': '75x27 inches', 'thickness': '5mm', 'weight': '2.9 lbs', 'color': 'Green', 'waterproof': False}",It Them Sports & Outdoors property never page Haas-Coleman Rubber 75x27 inches 5mm 2.9 lbs Green False
P238,Whether Hope,Sports & Outdoors,296.52,82,Vargas-Morris,3.2,2024-02-27,M155,"['yard', 'life', 'speak']","{'material': 'Polyester', 'dimensions': '78x26 inches', 'thickness': '10mm', 'weight': '1.8 lbs', 'color': 'Blue', 'waterproof': True}",Whether Hope Sports & Outdoors yard life speak Vargas-Morris Polyester 78x26 inches 10mm 1.8 lbs Blue True
P239,Leave Involve,Beverages,257.96,271,"Bell, Shepherd and Moore",3.7,2024-09-15,M113,"['now', 'past', 'power']","{'flavor': 'Chamomile', 'ingredients': ['Honey'], 'weight': '372g', 'origin': 'China', 'packaging': 'Bag', 'shelf_life': '6 months'}","Leave Involve Beverages now past power Bell, Shepherd and Moore Chamomile ['Honey'] 372g China Bag 6 months"
P240,Off Experience,Sports & Outdoors,233.85,75,Ferguson PLC,4.6,2024-03-02,M129,"['whole', 'already', 'buy']","{'material': 'Polyester', 'dimensions': '63x24 inches', 'thickness': '8mm', 'weight': '2.2 lbs', 'color': 'Blue', 'waterproof': False}",Off Experience Sports & Outdoors whole already buy Ferguson PLC Polyester 63x24 inches 8mm 2.2 lbs Blue False
P241,Hospital Night,Beverages,292.27,187,Henderson Inc,4.5,2024-08-19,M115,"['sea', 'however', 'agree']","{'flavor': 'Green Tea', 'ingredients': ['Honey'], 'weight': '176g', 'origin': 'India', 'packaging': 'Box', 'shelf_life': '13 months'}",Hospital Night Beverages sea however agree Henderson Inc Green Tea ['Honey'] 176g India Box 13 months
P242,Own Environmental,Books,280.86,84,Collins LLC,4.2,2024-05-18,M180,"['require', 'list', 'little']","{'title': 'Worry others.', 'author': 'Larry Ellis', 'release_year': 2019, 'published_year': 2002, 'number_of_pages': 403, 'ISBN': '978-1-57621-444-2', 'language': 'French', 'genre': 'Mystery'}",Own Environmental Books require list little Collins LLC Worry others. Larry Ellis 2019 2002 403 978-1-57621-444-2 French Mystery
P243,Address Moment,Books,279.15,368,Adams-Hansen,5.0,2024-10-11,M183,"['talk', 'discover', 'or']","{'title': 'Room kitchen.', 'author': 'Courtney Reid', 'release_year': 2007, 'published_year': 2020, 'number_of_pages': 175, 'ISBN': '978-1-367-62390-3', 'language': 'English', 'genre': 'Science'}",Address Moment Books talk discover or Adams-Hansen Room kitchen. Courtney Reid 2007 2020 175 978-1-367-62390-3 English Science
P244,High Issue,Wearables,102.37,308,Hunter LLC,4.9,2024-10-17,M170,"['learn', 'politics', 'present']","{'display_type': 'LCD', 'battery_life': '41 hours', 'connectivity': 'Bluetooth 5.2', 'sensors': ['Gyroscope'], 'water_resistance': 'IP67', 'compatibility': 'Android'}",High Issue Wearables learn politics present Hunter LLC LCD 41 hours Bluetooth 5.2 ['Gyroscope'] IP67 Android
P245,Piece Want,Sports & Outdoors,66.13,415,Phillips-Miles,3.8,2024-04-04,M157,"['goal', 'smile', 'join']","{'material': 'Foam', 'dimensions': '71x30 inches', 'thickness': '9mm', 'weight': '1.3 lbs', 'color': 'Blue', 'waterproof': False}",Piece Want Sports & Outdoors goal smile join Phillips-Miles Foam 71x30 inches 9mm 1.3 lbs Blue False
P246,Manage Capital,Wearables,33.08,290,Brown Inc,4.8,2024-02-24,M153,"['with', 'couple', 'result']","{'display_type': 'LCD', 'battery_life': '12 hours', 'connectivity': 'Wi-Fi', 'sensors': ['Gyroscope'], 'water_resistance': 'IP67', 'compatibility': 'Android'}",Manage Capital Wearables with couple result Brown Inc LCD 12 hours Wi-Fi ['Gyroscope'] IP67 Android
P247,Ok International,Beverages,195.33,364,Wilson Inc,4.0,2024-09-30,M116,"['determine', 'level', 'level']","{'flavor': 'Green Tea', 'ingredients': ['Mint'], 'weight': '107g', 'origin': 'India', 'packaging': 'Box', 'shelf_life': '13 months'}",Ok International Beverages determine level level Wilson Inc Green Tea ['Mint'] 107g India Box 13 months
P248,While Treat,Books,194.15,163,"Green, Mcclure and Mitchell",4.0,2024-07-13,M135,"['herself', 'view', 'statement']","{'title': 'Pattern throw.', 'author': 'Brian Williams', 'release_year': 2013, 'published_year': 2004, 'number_of_pages': 138, 'ISBN': '978-1-60512-486-5', 'language': 'French', 'genre': 'Fiction'}","While Treat Books herself view statement Green, Mcclure and Mitchell Pattern throw. Brian Williams 2013 2004 138 978-1-60512-486-5 French Fiction"
P249,Rate Third,Electronics,26.84,224,"Patterson, Smith and Hamilton",4.3,2024-02-07,M108,"['story', 'center', 'miss']","{'battery_life': '13 hours', 'charging_time': '2 hours', 'connectivity': 'Bluetooth 5.0', 'noise_cancellation': 'Passive', 'water_resistance': 'IPX5'}","Rate Third Electronics story center miss Patterson, Smith and Hamilton 13 hours 2 hours Bluetooth 5.0 Passive IPX5"
P250,Stuff Guy,Books,283.7,130,Green and Sons,4.5,2024-11-08,M147,"['game', 'join', 'make']","{'title': 'How explain.', 'author': 'Joseph Hogan', 'release_year': 2011, 'published_year': 2021, 'number_of_pages': 643, 'ISBN': '978-0-260-86762-9', 'language': 'Spanish', 'genre': 'Fiction'}",Stuff Guy Books game join make Green and Sons How explain. Joseph Hogan 2011 2021 643 978-0-260-86762-9 Spanish Fiction
P251,Beautiful Camera,Wearables,201.75,211,Freeman-Mason,3.5,2024-02-16,M149,"['should', 'general', 'detail']","{'display_type': 'LCD', 'battery_life': '22 hours', 'connectivity': 'Bluetooth 5.1', 'sensors': ['Gyroscope'], 'water_resistance': 'IP67', 'compatibility': 'Android'}",Beautiful Camera Wearables should general detail Freeman-Mason LCD 22 hours Bluetooth 5.1 ['Gyroscope'] IP67 Android
P252,Decade Poor,Sports & Outdoors,254.32,217,Wheeler-Long,3.5,2024-05-11,M127,"['must', 'large', 'anything']","{'material': 'Polyester', 'dimensions': '73x21 inches', 'thickness': '5mm', 'weight': '1.4 lbs', 'color': 'Green', 'waterproof': True}",Decade Poor Sports & Outdoors must large anything Wheeler-Long Polyester 73x21 inches 5mm 1.4 lbs Green True
P253,Participant Who,Books,286.86,111,"Schwartz, Washington and Green",3.5,2024-10-07,M148,"['debate', 'join', 'fish']","{'title': 'Cultural pay such.', 'author': 'Barbara Johnson', 'release_year': 2009, 'published_year': 2005, 'number_of_pages': 205, 'ISBN': '978-0-7860-7337-5', 'language': 'French', 'genre': 'Fiction'}","Participant Who Books debate join fish Schwartz, Washington and Green Cultural pay such. Barbara Johnson 2009 2005 205 978-0-7860-7337-5 French Fiction"
P254,Describe Remember,Electronics,257.39,415,Hernandez-Ellison,4.8,2024-07-16,M155,"['dinner', 'everyone', 'dark']","{'battery_life': '20 hours', 'charging_time': '2 hours', 'connectivity': 'Wi-Fi', 'noise_cancellation': 'Passive', 'water_resistance': 'IPX7'}",Describe Remember Electronics dinner everyone dark Hernandez-Ellison 20 hours 2 hours Wi-Fi Passive IPX7
P255,Arm Blood,Sports & Outdoors,88.26,271,"Cameron, Vaughn and Galloway",3.3,2024-04-03,M157,"['common', 'guy', 'decide']","{'material': 'Foam', 'dimensions': '75x30 inches', 'thickness': '6mm', 'weight': '1.2 lbs', 'color': 'Green', 'waterproof': True}","Arm Blood Sports & Outdoors common guy decide Cameron, Vaughn and Galloway Foam 75x30 inches 6mm 1.2 lbs Green True"
P256,Will Sister,Sports & Outdoors,86.14,237,Garcia Group,4.5,2024-10-30,M143,"['usually', 'organization', 'simply']","{'material': 'Rubber', 'dimensions': '76x24 inches', 'thickness': '9mm', 'weight': '2.3 lbs', 'color': 'Blue', 'waterproof': True}",Will Sister Sports & Outdoors usually organization simply Garcia Group Rubber 76x24 inches 9mm 2.3 lbs Blue True
P257,Car Security,Books,31.62,476,"Hebert, Potts and Gillespie",4.5,2024-02-11,M164,"['camera', 'bit', 'raise']","{'title': 'Paper occur social I.', 'author': 'Mary Phillips', 'release_year': 2007, 'published_year': 2008, 'number_of_pages': 596, 'ISBN': '978-1-209-21792-5', 'language': 'Spanish', 'genre': 'Science'}","Car Security Books camera bit raise Hebert, Potts and Gillespie Paper occur social I. Mary Phillips 2007 2008 596 978-1-209-21792-5 Spanish Science"
P258,Even Particular,Wearables,81.02,461,Hendrix and Sons,4.5,2024-08-08,M164,"['safe', 'card', 'start']","{'display_type': 'AMOLED', 'battery_life': '21 hours', 'connectivity': 'Wi-Fi', 'sensors': ['Accelerometer'], 'water_resistance': 'IP67', 'compatibility': 'Android'}",Even Particular Wearables safe card start Hendrix and Sons AMOLED 21 hours Wi-Fi ['Accelerometer'] IP67 Android
P259,Continue Surface,Electronics,169.45,152,Jones and Sons,4.2,2024-05-23,M117,"['break', 'develop', 'event']","{'battery_life': '11 hours', 'charging_time': '3 hours', 'connectivity': 'Wi-Fi', 'noise_cancellation': 'Active', 'water_resistance': 'IPX4'}",Continue Surface Electronics break develop event Jones and Sons 11 hours 3 hours Wi-Fi Active IPX4
P260,Season Whom,Beverages,264.14,299,House Ltd,3.8,2024-01-30,M134,"['occur', 'thousand', 'second']","{'flavor': 'Earl Grey', 'ingredients': ['Honey'], 'weight': '298g', 'origin': 'India', 'packaging': 'Box', 'shelf_life': '18 months'}",Season Whom Beverages occur thousand second House Ltd Earl Grey ['Honey'] 298g India Box 18 months
P261,Section Environment,Books,85.52,338,Nelson-Vargas,3.5,2024-09-16,M103,"['form', 'national', 'none']","{'title': 'National down improve.', 'author': 'John Mckee', 'release_year': 2020, 'published_year': 2024, 'number_of_pages': 172, 'ISBN': '978-1-5261-2658-0', 'language': 'French', 'genre': 'Non-Fiction'}",Section Environment Books form national none Nelson-Vargas National down improve. John Mckee 2020 2024 172 978-1-5261-2658-0 French Non-Fiction
P262,This Bad,Books,170.08,35,Gomez-Garcia,3.5,2024-10-03,M145,"['then', 'development', 'lay']","{'title': 'During price.', 'author': 'Kimberly Henderson', 'release_year': 2011, 'published_year': 2012, 'number_of_pages': 787, 'ISBN': '978-1-60642-900-6', 'language': 'English', 'genre': 'Non-Fiction'}",This Bad Books then development lay Gomez-Garcia During price. Kimberly Henderson 2011 2012 787 978-1-60642-900-6 English Non-Fiction
P263,Foot Traditional,Beverages,28.43,204,"King, Jones and Santos",4.6,2024-06-08,M190,"['Democrat', 'agent', 'whole']","{'flavor': 'Green Tea', 'ingredients': ['Mint'], 'weight': '136g', 'origin': 'India', 'packaging': 'Box', 'shelf_life': '18 months'}","Foot Traditional Beverages Democrat agent whole King, Jones and Santos Green Tea ['Mint'] 136g India Box 18 months"
P264,Them Film,Books,65.13,55,Hill and Sons,4.4,2024-03-12,M103,"['offer', 'decade', 'ready']","{'title': 'On cell so.', 'author': 'Debbie Smith', 'release_year': 2015, 'published_year': 2008, 'number_of_pages': 617, 'ISBN': '978-0-671-84564-3', 'language': 'French', 'genre': 'Mystery'}",Them Film Books offer decade ready Hill and Sons On cell so. Debbie Smith 2015 2008 617 978-0-671-84564-3 French Mystery
P265,Lead Play,Beverages,184.29,279,"Alvarez, Hall and Stevenson",4.1,2024-01-07,M139,"['low', 'color', 'food']","{'flavor': 'Chamomile', 'ingredients': ['Tea leaves'], 'weight': '352g', 'origin': 'Japan', 'packaging': 'Box', 'shelf_life': '14 months'}","Lead Play Beverages low color food Alvarez, Hall and Stevenson Chamomile ['Tea leaves'] 352g Japan Box 14 months"
P266,Purpose Order,Wearables,144.31,361,"Miller, Mcconnell and Trevino",3.5,2024-01-24,M154,"['room', 'TV', 'treatment']","{'display_type': 'LCD', 'battery_life': '48 hours', 'connectivity': 'Bluetooth 5.1', 'sensors': ['Heart rate'], 'water_resistance': 'IP68', 'compatibility': 'iOS'}","Purpose Order Wearables room TV treatment Miller, Mcconnell and Trevino LCD 48 hours Bluetooth 5.1 ['Heart rate'] IP68 iOS"
P267,Lay Rest,Sports & Outdoors,250.16,372,West-Charles,4.8,2024-05-14,M144,"['work', 'the', 'affect']","{'material': 'Rubber', 'dimensions': '65x20 inches', 'thickness': '7mm', 'weight': '1.5 lbs', 'color': 'Black', 'waterproof': True}",Lay Rest Sports & Outdoors work the affect West-Charles Rubber 65x20 inches 7mm 1.5 lbs Black True
P268,As Moment,Wearables,198.35,276,Singleton Group,3.3,2024-05-23,M186,"['above', 'candidate', 'red']","{'display_type': 'AMOLED', 'battery_life': '31 hours', 'connectivity': 'Wi-Fi', 'sensors': ['Gyroscope'], 'water_resistance': 'IP68', 'compatibility': 'Android'}",As Moment Wearables above candidate red Singleton Group AMOLED 31 hours Wi-Fi ['Gyroscope'] IP68 Android
P269,Save You,Books,250.12,437,"Holmes, Hawkins and Mcpherson",3.4,2024-10-30,M130,"['after', 'myself', 'blue']","{'title': 'Start about.', 'author': 'Elizabeth Schneider', 'release_year': 2005, 'published_year': 2009, 'number_of_pages': 200, 'ISBN': '978-0-01-404861-8', 'language': 'French', 'genre': 'Mystery'}","Save You Books after myself blue Holmes, Hawkins and Mcpherson Start about. Elizabeth Schneider 2005 2009 200 978-0-01-404861-8 French Mystery"
